Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
84,13.261,22.356,0,0.065,1.661,3.435,7.865,19.362,0.613
84,24.678,22.450,0,0.071,1.609,3.262,7.362,17.934,0.613
85,24.587,22.512,0,0.072,1.596,3.224,7.267,17.717,0.435
85,13.111,23.267,0,0.059,1.695,3.603,8.463,21.297,0.361
85,18.544,30.298,0,0.066,1.651,3.378,7.668,18.750,0.462
86,13.494,22.401,0,0.062,1.644,3.375,7.693,18.889,0.975
86,25.212,23.516,0,0.073,1.631,3.345,7.633,18.781,0.975
87,24.657,22.474,0,0.072,1.627,3.324,7.542,18.432,1.000
88,13.147,22.401,0,0.067,1.671,3.485,8.043,19.932,0.702
88,24.934,23.418,0,0.070,1.657,3.431,7.851,19.276,0.795
88,19.395,30.326,0,0.066,1.633,3.317,7.497,18.296,0.589
89,13.439,22.430,0,0.069,1.641,3.376,7.720,19.022,0.658
89,25.361,23.468,0,0.071,1.621,3.319,7.574,18.662,0.627
89,20.416,29.947,0,0.065,1.698,3.580,8.323,20.713,0.386
90,13.225,23.285,0,0.062,1.687,3.573,8.376,21.055,0.368
90,25.308,24.436,0,0.071,1.627,3.334,7.603,18.697,0.684
90,19.400,30.369,0,0.067,1.634,3.325,7.527,18.390,0.681
91,24.681,22.584,0,0.069,1.600,3.231,7.272,17.679,0.564
91,13.129,23.261,0,0.063,1.677,3.532,8.242,20.636,0.371
91,18.556,30.358,0,0.068,1.635,3.319,7.482,18.198,0.594
92,13.470,22.456,0,0.065,1.639,3.353,7.617,18.648,0.971
92,25.325,23.506,0,0.075,1.623,3.320,7.568,18.623,0.971
93,13.438,22.418,0,0.063,1.677,3.493,8.052,19.931,0.542
93,25.332,23.477,0,0.073,1.608,3.271,7.432,18.256,0.542
94,13.460,22.361,0,0.064,1.643,3.378,7.715,18.980,0.814
94,25.346,23.508,0,0.074,1.609,3.274,7.439,18.274,0.818
94,19.419,30.344,0,0.066,1.635,3.324,7.515,18.339,0.914
95,13.496,22.416,0,0.064,1.635,3.352,7.643,18.791,0.852
95,25.403,23.458,0,0.074,1.607,3.269,7.425,18.239,0.852
96,13.480,22.395,0,0.063,1.637,3.349,7.609,18.635,0.881
96,25.321,23.512,0,0.074,1.610,3.276,7.433,18.231,0.881
97,13.260,22.377,0,0.065,1.676,3.498,8.073,20.005,0.434
97,25.222,23.549,0,0.073,1.615,3.289,7.461,18.269,0.693
97,19.426,30.270,0,0.066,1.634,3.315,7.473,18.183,0.718
98,25.274,24.461,0,0.072,1.620,3.305,7.509,18.406,0.993
98,19.404,30.400,0,0.068,1.631,3.321,7.522,18.395,0.993
99,25.190,23.568,0,0.072,1.623,3.315,7.538,18.486,0.823
99,18.480,30.257,0,0.066,1.659,3.409,7.767,19.051,0.823
100,24.836,22.547,0,0.070,1.633,3.338,7.559,18.404,0.886
100,18.508,30.290,0,0.067,1.659,3.410,7.772,19.064,0.886
101,13.325,22.362,0,0.064,1.657,3.423,7.837,19.301,0.723
101,24.807,22.536,0,0.071,1.621,3.296,7.436,18.064,0.723
102,24.677,22.573,0,0.070,1.603,3.238,7.282,17.686,0.655
102,18.501,30.311,0,0.065,1.655,3.391,7.703,18.845,0.655
103,13.210,22.360,0,0.064,1.673,3.484,8.025,19.853,0.413
103,24.751,22.549,0,0.070,1.612,3.268,7.366,17.909,0.693
103,19.392,30.352,0,0.064,1.626,3.285,7.383,17.922,0.708
104,24.797,22.540,0,0.069,1.628,3.323,7.524,18.332,0.650
104,13.318,23.317,0,0.062,1.674,3.516,8.191,20.499,0.537
104,18.550,30.359,0,0.065,1.656,3.391,7.694,18.793,0.750
105,13.214,22.413,0,0.067,1.663,3.440,7.872,19.358,0.647
105,25.332,24.459,0,0.070,1.630,3.340,7.611,18.695,0.833
105,19.421,30.281,0,0.066,1.626,3.292,7.420,18.067,0.743
106,13.348,22.360,0,0.065,1.664,3.443,7.891,19.434,0.754
106,24.771,22.498,0,0.069,1.631,3.327,7.528,18.333,0.754
107,13.202,22.397,0,0.068,1.671,3.471,7.975,19.680,0.561
107,24.706,22.510,0,0.070,1.611,3.271,7.385,17.989,0.599
107,18.530,30.378,0,0.066,1.647,3.361,7.609,18.563,0.737
108,13.188,22.387,0,0.065,1.676,3.492,8.046,19.902,0.544
108,24.741,22.562,0,0.071,1.612,3.271,7.386,17.996,0.544
108,18.521,30.329,0,0.067,1.651,3.381,7.680,18.790,0.696
109,24.781,22.486,0,0.071,1.633,3.338,7.565,18.455,0.557
109,13.264,23.297,0,0.063,1.685,3.546,8.257,20.629,0.557
110,13.215,22.354,0,0.063,1.677,3.492,8.042,19.876,0.575
110,24.790,22.501,0,0.071,1.621,3.298,7.448,18.121,0.575
111,13.253,22.325,0,0.065,1.660,3.434,7.871,19.400,0.589
111,24.740,22.564,0,0.071,1.605,3.248,7.317,17.790,0.589
112,13.352,22.410,0,0.064,1.669,3.471,7.994,19.781,0.644
112,25.179,23.530,0,0.072,1.624,3.314,7.527,18.442,0.644
113,13.248,22.374,0,0.068,1.661,3.434,7.864,19.359,0.811
113,24.796,22.529,0,0.069,1.627,3.317,7.497,18.242,0.743
