Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,250,19.780,20.021,0,12.556,1.783,3.784,8.739,21.426,1.000
1,251,19.728,20.058,0,12.479,1.790,3.808,8.811,21.635,1.000
1,252,19.744,20.078,0,12.483,1.790,3.808,8.809,21.619,1.000
1,253,19.794,20.028,0,12.897,1.783,3.779,8.712,21.322,1.000
1,254,20.249,20.715,0,14.360,1.839,3.962,9.221,22.672,1.000
1,255,19.760,20.074,0,12.454,1.782,3.777,8.709,21.322,1.000
1,256,20.333,20.675,0,15.317,1.836,3.946,9.163,22.481,0.500
1,257,20.266,20.764,0,14.158,1.831,3.931,9.126,22.393,1.000
1,258,19.706,20.060,0,12.553,1.782,3.778,8.716,21.351,1.000
1,259,19.815,20.017,0,12.531,1.785,3.789,8.752,21.455,1.000
1,260,19.758,20.022,0,12.178,1.785,3.791,8.764,21.512,0.732
1,261,20.348,19.760,0,14.240,1.844,3.982,9.290,22.887,1.000
1,262,21.002,19.785,0,12.307,1.810,3.887,9.072,22.448,1.000
1,263,20.947,19.783,0,11.959,1.805,3.878,9.068,22.490,0.500
1,264,20.948,19.772,0,11.642,1.793,3.840,8.959,22.195,0.500
1,265,20.906,19.790,0,11.632,1.795,3.849,8.988,22.282,0.500
1,266,20.926,19.753,0,11.569,1.790,3.833,8.944,22.162,0.500
1,267,20.938,19.760,0,11.546,1.793,3.841,8.964,22.212,0.500
1,268,20.354,19.742,0,14.012,1.857,4.028,9.432,23.310,0.500
1,269,20.313,19.765,0,13.419,1.861,4.045,9.495,23.525,0.500
1,270,20.189,19.772,0,12.987,1.836,3.958,9.234,22.774,0.500
1,271,20.194,19.764,0,13.213,1.843,3.981,9.301,22.959,0.500
1,272,20.932,19.729,0,11.815,1.799,3.858,9.005,22.298,0.500
1,273,20.937,19.742,0,11.869,1.799,3.858,9.001,22.285,0.500
1,274,20.941,19.745,0,12.085,1.808,3.884,9.074,22.477,1.000
1,275,20.946,19.705,0,12.274,1.821,3.930,9.206,22.841,1.000
1,276,19.514,19.037,0,12.725,1.811,3.880,9.020,22.211,1.000
1,277,19.576,18.875,0,14.153,1.816,3.882,8.995,22.058,1.000
1,278,19.620,18.902,0,13.828,1.817,3.890,9.026,22.171,1.000
1,279,19.637,19.010,0,13.194,1.799,3.832,8.867,21.753,1.000
1,280,19.786,18.995,0,12.939,1.792,3.812,8.816,21.631,1.000
1,281,19.701,18.905,0,13.325,1.813,3.881,9.010,22.152,1.000
1,282,20.326,19.648,0,15.170,1.812,3.860,8.904,21.729,1.000
1,283,19.695,19.029,0,12.470,1.803,3.851,8.933,21.960,1.000
1,284,19.700,19.010,0,12.716,1.803,3.852,8.939,21.990,1.000
1,285,20.158,19.660,0,14.401,1.836,3.949,9.182,22.562,1.000
1,286,19.012,18.867,0,11.421,1.766,3.741,8.649,21.274,0.500
1,287,20.300,19.005,0,13.157,1.805,3.854,8.932,21.940,1.000
1,288,19.680,18.862,0,13.412,1.826,3.924,9.135,22.503,1.000
1,289,20.336,18.920,0,13.733,1.807,3.856,8.928,21.896,1.000
1,290,20.369,18.970,0,13.405,1.807,3.861,8.950,21.979,1.000
1,291,20.285,19.068,0,12.846,1.788,3.798,8.774,21.503,1.000
1,292,20.274,19.016,0,13.131,1.803,3.849,8.924,21.928,1.000
1,293,19.687,19.061,0,12.845,1.791,3.810,8.808,21.601,1.000
1,294,19.537,19.002,0,12.986,1.809,3.867,8.963,22.003,1.000
1,295,20.182,19.722,0,13.836,1.838,3.959,9.221,22.693,1.000
1,296,19.791,19.687,0,14.482,1.866,4.054,9.505,23.507,1.000
1,297,20.312,19.827,0,14.084,1.824,3.908,9.064,22.233,1.000
1,298,20.394,19.794,0,14.510,1.835,3.943,9.159,22.484,1.000
1,299,20.375,19.793,0,14.621,1.828,3.919,9.091,22.292,1.000
1,300,20.336,19.798,0,14.188,1.840,3.965,9.238,22.743,1.000
1,301,20.315,19.777,0,14.462,1.838,3.955,9.200,22.611,1.000
1,302,20.296,19.785,0,14.451,1.839,3.956,9.199,22.596,1.000
1,303,20.312,19.838,0,14.250,1.794,3.798,8.723,21.225,1.000
1,304,20.925,19.723,0,12.463,1.811,3.885,9.055,22.365,1.000
1,305,20.298,19.831,0,14.238,1.802,3.829,8.820,21.512,1.000
1,306,20.295,19.860,0,14.056,1.798,3.818,8.790,21.435,1.000
1,307,20.324,19.850,0,14.331,1.797,3.808,8.752,21.308,1.000
1,308,20.408,19.778,0,14.713,1.848,3.990,9.297,22.873,1.000
1,309,20.373,19.747,0,14.737,1.843,3.971,9.244,22.723,1.000
1,310,20.362,19.793,0,14.816,1.835,3.945,9.165,22.497,1.000
1,311,20.323,19.794,0,14.361,1.830,3.928,9.117,22.365,1.000
1,312,20.383,19.754,0,14.906,1.838,3.951,9.176,22.516,1.000
1,313,20.415,19.780,0,14.593,1.842,3.967,9.230,22.684,1.000
1,314,20.406,19.737,0,15.068,1.837,3.949,9.171,22.504,1.000
1,315,20.300,19.841,0,14.172,1.804,3.837,8.845,21.589,1.000
1,316,20.381,19.823,0,14.477,1.816,3.878,8.965,21.928,1.000
1,317,20.269,19.817,0,14.030,1.816,3.880,8.980,21.991,1.000
1,318,20.305,19.829,0,14.422,1.808,3.849,8.882,21.694,1.000
1,319,20.313,19.833,0,14.247,1.815,3.873,8.948,21.874,1.000
1,320,20.305,19.823,0,14.333,1.794,3.799,8.721,21.208,1.000
1,321,20.233,19.837,0,13.987,1.806,3.845,8.872,21.678,1.000
1,322,20.281,19.853,0,13.962,1.811,3.864,8.929,21.845,1.000
1,323,20.270,19.851,0,14.194,1.798,3.816,8.778,21.388,1.000
1,324,20.352,19.788,0,14.574,1.824,3.907,9.052,22.177,1.000
1,325,20.363,19.830,0,14.320,1.831,3.932,9.136,22.439,1.000
1,326,20.274,19.881,0,14.210,1.769,3.711,8.462,20.479,1.000
1,327,20.324,19.890,0,14.371,1.786,3.772,8.643,20.994,1.000
1,328,19.774,19.801,0,14.091,1.813,3.868,8.940,21.869,1.000
1,329,19.730,19.819,0,14.138,1.813,3.868,8.937,21.852,1.000
1,330,20.323,19.896,0,14.006,1.805,3.843,8.872,21.688,1.000
1,331,20.302,19.887,0,14.327,1.798,3.815,8.780,21.404,1.000
1,332,20.297,19.923,0,13.820,1.789,3.790,8.719,21.268,1.000
1,333,20.258,19.949,0,13.626,1.804,3.845,8.895,21.799,1.000
1,334,19.740,19.886,0,13.901,1.792,3.797,8.727,21.258,1.000
1,335,20.226,20.012,0,13.425,1.790,3.798,8.759,21.420,1.000
1,336,19.801,19.835,0,14.052,1.789,3.784,8.683,21.119,1.000
1,337,20.308,19.980,0,13.778,1.792,3.802,8.762,21.409,1.000
1,338,20.290,19.921,0,14.210,1.797,3.815,8.787,21.445,1.000
1,339,19.764,19.816,0,14.152,1.809,3.855,8.900,21.750,1.000
1,340,20.442,20.563,0,15.670,1.816,3.871,8.928,21.782,1.000
